name,protocols,tvl,timestamp
Tenet,3,159.49,2025-08-07T19:30:03.273436
Aleph Zero EVM,1,72.1,2025-08-07T19:30:03.273811
Bitnet,1,51.81,2025-08-07T19:30:03.273578
Xphere,1,4.94,2025-08-07T19:30:03.273786
Waterfall,1,4.15,2025-08-07T19:30:03.273750
Bitgert,13,0.22,2025-08-07T19:30:03.272162
Binance,960,0,2025-08-07T19:30:03.271904
Cube,3,0,2025-08-07T19:30:03.272150
re.al,12,0,2025-08-07T19:30:03.272174
Hoo,4,0,2025-08-07T19:30:03.272224
Genshiro,1,0,2025-08-07T19:30:03.272378
Lamden,1,0,2025-08-07T19:30:03.272412
CLV,6,0,2025-08-07T19:30:03.272423
HPB,2,0,2025-08-07T19:30:03.272470
Fusion,3,0,2025-08-07T19:30:03.272486
ZKsync Lite,0,0,2025-08-07T19:30:03.272558
Empire,1,0,2025-08-07T19:30:03.272630
Polis,1,0,2025-08-07T19:30:03.272650
ZYX,1,0,2025-08-07T19:30:03.272655
Ubiq,1,0,2025-08-07T19:30:03.272673
Echelon,5,0,2025-08-07T19:30:03.272835
Syscoin,4,0,2025-08-07T19:30:03.272858
Goerli,1,0,2025-08-07T19:30:03.272950
Boba_Avax,1,0,2025-08-07T19:30:03.272968
Nova Network,2,0,2025-08-07T19:30:03.273108
OXFUN,1,0,2025-08-07T19:30:03.273126
Dexit,3,0,2025-08-07T19:30:03.273140
Heiko,5,0,2025-08-07T19:30:03.273165
Parallel,5,0,2025-08-07T19:30:03.273168
Kekchain,3,0,2025-08-07T19:30:03.273250
MUUCHAIN,1,0,2025-08-07T19:30:03.273261
DSC,1,0,2025-08-07T19:30:03.273299
Tlchain,1,0,2025-08-07T19:30:03.273310
Zeniq,1,0,2025-08-07T19:30:03.273313
Bitindi,2,0,2025-08-07T19:30:03.273316
Optimism,338,0,2025-08-07T19:30:03.273330
Lung,1,0,2025-08-07T19:30:03.273361
Bone,1,0,2025-08-07T19:30:03.273364
Artela,3,0,2025-08-07T19:30:03.273450
Perennial,1,0,2025-08-07T19:30:03.273471
MEER,1,0,2025-08-07T19:30:03.273495
CMP,1,0,2025-08-07T19:30:03.273560
Flame,1,0,2025-08-07T19:30:03.273566
Mind Network,1,0,2025-08-07T19:30:03.273665
